title,authors,abstract,published,category,pdf_url,saved_title
LML: Language Model Learning a Dataset for Data-Augmented Prediction,Praneeth Vadlapati,"This paper introduces a new approach to using Large Language Models (LLMs)
for classification tasks, which are typically handled using Machine Learning
(ML) models. Unlike ML models that rely heavily on data cleaning and feature
engineering, this method streamlines the process using LLMs. This paper
proposes a new concept called ""Language Model Learning (LML)"" powered by a new
method called ""Data-Augmented Prediction (DAP)"". The classification is
performed by LLMs using a method similar to humans manually exploring and
understanding the data and deciding classifications using data as a reference.
Training data is summarized and evaluated to determine the features that lead
to the classification of each label the most. In the process of DAP, the system
uses the data summary to automatically create a query, which is used to
retrieve relevant rows from the dataset. A classification is generated by the
LLM using data summary and relevant rows, ensuring satisfactory accuracy even
with complex data. Usage of data summary and similar data in DAP ensures
context-aware decision-making. The proposed method uses the words ""Act as an
Explainable Machine Learning Model"" in the prompt to enhance the
interpretability of the predictions by allowing users to review the logic
behind each prediction. In some test cases, the system scored an accuracy above
90%, proving the effectiveness of the system and its potential to outperform
conventional ML models in various scenarios. The code is available at
https://github.com/Pro-GenAI/LML-DAP",2024-09-27 17:58:50+00:00,cs.CL,http://arxiv.org/pdf/2409.18957v1,LML_Language_Model_Learning_a_Dataset_for_DataAugmented_Prediction
Ruler: A Model-Agnostic Method to Control Generated Length for Large Language Models,"Jiaming Li, Lei Zhang, Yunshui Li, Ziqiang Liu, yuelin bai, Run Luo, Longze Chen, Min Yang","The instruction-following ability of large language models enables humans to
interact with AI agents in a natural way. However, when required to generate
responses of a specific length, large language models often struggle to meet
users' needs due to their inherent difficulty in accurately perceiving
numerical constraints. To explore the ability of large language models to
control the length of generated responses, we propose the Target Length
Generation Task (TLG) and design two metrics, Precise Match (PM) and Flexible
Match (FM) to evaluate the model's performance in adhering to specified
response lengths. Furthermore, we introduce a novel, model-agnostic approach
called Ruler, which employs Meta Length Tokens (MLTs) to enhance the
instruction-following ability of large language models under length-constrained
instructions. Specifically, Ruler equips LLMs with the ability to generate
responses of a specified length based on length constraints within the
instructions. Moreover, Ruler can automatically generate appropriate MLT when
length constraints are not explicitly provided, demonstrating excellent
versatility and generalization. Comprehensive experiments show the
effectiveness of Ruler across different LLMs on Target Length Generation Task,
e.g., at All Level 27.97 average gain on PM, 29.57 average gain on FM. In
addition, we conduct extensive ablation experiments to further substantiate the
efficacy and generalization of Ruler. Our code and data is available at
https://github.com/Geaming2002/Ruler.",2024-09-27 17:44:58+00:00,cs.CL,http://arxiv.org/pdf/2409.18943v1,Ruler_A_ModelAgnostic_Method_to_Control_Generated_Length_for_Large_Language_Models
From Seconds to Hours: Reviewing MultiModal Large Language Models on Comprehensive Long Video Understanding,"Heqing Zou, Tianze Luo, Guiyang Xie, Victor, Zhang, Fengmao Lv, Guangcong Wang, Juanyang Chen, Zhuochen Wang, Hansheng Zhang, Huaijian Zhang","The integration of Large Language Models (LLMs) with visual encoders has
recently shown promising performance in visual understanding tasks, leveraging
their inherent capability to comprehend and generate human-like text for visual
reasoning. Given the diverse nature of visual data, MultiModal Large Language
Models (MM-LLMs) exhibit variations in model designing and training for
understanding images, short videos, and long videos. Our paper focuses on the
substantial differences and unique challenges posed by long video understanding
compared to static image and short video understanding. Unlike static images,
short videos encompass sequential frames with both spatial and within-event
temporal information, while long videos consist of multiple events with
between-event and long-term temporal information. In this survey, we aim to
trace and summarize the advancements of MM-LLMs from image understanding to
long video understanding. We review the differences among various visual
understanding tasks and highlight the challenges in long video understanding,
including more fine-grained spatiotemporal details, dynamic events, and
long-term dependencies. We then provide a detailed summary of the advancements
in MM-LLMs in terms of model design and training methodologies for
understanding long videos. Finally, we compare the performance of existing
MM-LLMs on video understanding benchmarks of various lengths and discuss
potential future directions for MM-LLMs in long video understanding.",2024-09-27 17:38:36+00:00,cs.CV,http://arxiv.org/pdf/2409.18938v1,From_Seconds_to_Hours_Reviewing_MultiModal_Large_Language_Models_on_Comprehensive_Long_Video_Understanding
AIPatient: Simulating Patients with EHRs and LLM Powered Agentic Workflow,"Huizi Yu, Jiayan Zhou, Lingyao Li, Shan Chen, Jack Gallifant, Anye Shi, Xiang Li, Wenyue Hua, Mingyu Jin, Guang Chen, Yang Zhou, Zhao Li, Trisha Gupte, Ming-Li Chen, Zahra Azizi, Yongfeng Zhang, Themistocles L. Assimes, Xin Ma, Danielle S. Bitterman, Lin Lu, Lizhou Fan","Simulated patient systems play a crucial role in modern medical education and
research, providing safe, integrative learning environments and enabling
clinical decision-making simulations. Large Language Models (LLM) could advance
simulated patient systems by replicating medical conditions and patient-doctor
interactions with high fidelity and low cost. However, ensuring the
effectiveness and trustworthiness of these systems remains a challenge, as they
require a large, diverse, and precise patient knowledgebase, along with a
robust and stable knowledge diffusion to users. Here, we developed AIPatient,
an advanced simulated patient system with AIPatient Knowledge Graph (AIPatient
KG) as the input and the Reasoning Retrieval-Augmented Generation (Reasoning
RAG) agentic workflow as the generation backbone. AIPatient KG samples data
from Electronic Health Records (EHRs) in the Medical Information Mart for
Intensive Care (MIMIC)-III database, producing a clinically diverse and
relevant cohort of 1,495 patients with high knowledgebase validity (F1 0.89).
Reasoning RAG leverages six LLM powered agents spanning tasks including
retrieval, KG query generation, abstraction, checker, rewrite, and
summarization. This agentic framework reaches an overall accuracy of 94.15% in
EHR-based medical Question Answering (QA), outperforming benchmarks that use
either no agent or only partial agent integration. Our system also presents
high readability (median Flesch Reading Ease 77.23; median Flesch Kincaid Grade
5.6), robustness (ANOVA F-value 0.6126, p<0.1), and stability (ANOVA F-value
0.782, p<0.1). The promising performance of the AIPatient system highlights its
potential to support a wide range of applications, including medical education,
model evaluation, and system integration.",2024-09-27 17:17:15+00:00,cs.CL,http://arxiv.org/pdf/2409.18924v1,AIPatient_Simulating_Patients_with_EHRs_and_LLM_Powered_Agentic_Workflow
Soft Measures for Extracting Causal Collective Intelligence,"Maryam Berijanian, Spencer Dork, Kuldeep Singh, Michael Riley Millikan, Ashlin Riggs, Aadarsh Swaminathan, Sarah L. Gibbs, Scott E. Friedman, Nathan Brugnone","Understanding and modeling collective intelligence is essential for
addressing complex social systems. Directed graphs called fuzzy cognitive maps
(FCMs) offer a powerful tool for encoding causal mental models, but extracting
high-integrity FCMs from text is challenging. This study presents an approach
using large language models (LLMs) to automate FCM extraction. We introduce
novel graph-based similarity measures and evaluate them by correlating their
outputs with human judgments through the Elo rating system. Results show
positive correlations with human evaluations, but even the best-performing
measure exhibits limitations in capturing FCM nuances. Fine-tuning LLMs
improves performance, but existing measures still fall short. This study
highlights the need for soft similarity measures tailored to FCM extraction,
advancing collective intelligence modeling with NLP.",2024-09-27 16:54:36+00:00,cs.CL,http://arxiv.org/pdf/2409.18911v1,Soft_Measures_for_Extracting_Causal_Collective_Intelligence
IDGen: Item Discrimination Induced Prompt Generation for LLM Evaluation,"Fan Lin, Shuyi Xie, Yong Dai, Wenlin Yao, Tianjiao Lang, Zishan Xu, Zhichao Hu, Xiao Xiao, Yuhong Liu, Yu Zhang","As Large Language Models (LLMs) grow increasingly adept at managing complex
tasks, the evaluation set must keep pace with these advancements to ensure it
remains sufficiently discriminative. Item Discrimination (ID) theory, which is
widely used in educational assessment, measures the ability of individual test
items to differentiate between high and low performers. Inspired by this
theory, we propose an ID-induced prompt synthesis framework for evaluating LLMs
to ensure the evaluation set can continually update and refine according to
model abilities. Our data synthesis framework prioritizes both breadth and
specificity. It can generate prompts that comprehensively evaluate the
capabilities of LLMs while revealing meaningful performance differences between
models, allowing for effective discrimination of their relative strengths and
weaknesses across various tasks and domains. To produce high-quality data, we
incorporate a self-correct mechanism into our generalization framework, and
develop two models to predict prompt discrimination and difficulty score to
facilitate our data synthesis framework, contributing valuable tools to
evaluation data synthesis research. We apply our generated data to evaluate
five SOTA models. Our data achieves an average score of 51.92, accompanied by a
variance of 10.06. By contrast, previous works (i.e., SELF-INSTRUCT and
WizardLM) obtain an average score exceeding 67, with a variance below 3.2. The
results demonstrate that the data generated by our framework is more
challenging and discriminative compared to previous works. We will release a
dataset of over 3,000 carefully crafted prompts to facilitate evaluation
research of LLMs.",2024-09-27 16:29:12+00:00,cs.CL,http://arxiv.org/pdf/2409.18892v1,IDGen_Item_Discrimination_Induced_Prompt_Generation_for_LLM_Evaluation
Mitigating Selection Bias with Node Pruning and Auxiliary Options,"Hyeong Kyu Choi, Weijie Xu, Chi Xue, Stephanie Eckman, Chandan K. Reddy","Large language models (LLMs) often show unwarranted preference for certain
choice options when responding to multiple-choice questions, posing significant
reliability concerns in LLM-automated systems. To mitigate this selection bias
problem, previous solutions utilized debiasing methods to adjust the model's
input and/or output. Our work, in contrast, investigates the model's internal
representation of the selection bias. Specifically, we introduce a novel
debiasing approach, Bias Node Pruning (BNP), which eliminates the linear layer
parameters that contribute to the bias. Furthermore, we present Auxiliary
Option Injection (AOI), a simple yet effective input modification technique for
debiasing, which is compatible even with black-box LLMs. To provide a more
systematic evaluation of selection bias, we review existing metrics and
introduce Choice Kullback-Leibler Divergence (CKLD), which addresses the
insensitivity of the commonly used metrics to label imbalance. Experiments show
that our methods are robust and adaptable across various datasets when applied
to three LLMs.",2024-09-27 15:53:54+00:00,cs.AI,http://arxiv.org/pdf/2409.18857v1,Mitigating_Selection_Bias_with_Node_Pruning_and_Auxiliary_Options
LLMs4Synthesis: Leveraging Large Language Models for Scientific Synthesis,"Hamed Babaei Giglou, Jennifer D'Souza, Sören Auer","In response to the growing complexity and volume of scientific literature,
this paper introduces the LLMs4Synthesis framework, designed to enhance the
capabilities of Large Language Models (LLMs) in generating high-quality
scientific syntheses. This framework addresses the need for rapid, coherent,
and contextually rich integration of scientific insights, leveraging both
open-source and proprietary LLMs. It also examines the effectiveness of LLMs in
evaluating the integrity and reliability of these syntheses, alleviating
inadequacies in current quantitative metrics. Our study contributes to this
field by developing a novel methodology for processing scientific papers,
defining new synthesis types, and establishing nine detailed quality criteria
for evaluating syntheses. The integration of LLMs with reinforcement learning
and AI feedback is proposed to optimize synthesis quality, ensuring alignment
with established criteria. The LLMs4Synthesis framework and its components are
made available, promising to enhance both the generation and evaluation
processes in scientific research synthesis.",2024-09-27 15:04:39+00:00,cs.CL,http://arxiv.org/pdf/2409.18812v1,LLMs4Synthesis_Leveraging_Large_Language_Models_for_Scientific_Synthesis
Esports Debut as a Medal Event at 2023 Asian Games: Exploring Public Perceptions with BERTopic and GPT-4 Topic Fine-Tuning,"Tyreal Yizhou Qian, Bo Yu, Weizhe Li, Chenglong Xu","This study examined the public opinions of esports at the 2023 Asian Games
and value co-creation during the event using an LLM-enhanced BERTopic modeling
analysis. We identified five major themes representing public perceptions, as
well as how major stakeholders co-created value within and beyond the esports
ecosystem. Key findings highlighted the strategic use of social media marketing
to influence public opinion and promote esports events and brands, emphasizing
the importance of event logistics and infrastructure. Additionally, the study
revealed the co-creation value contributed by stakeholders outside the
traditional esports ecosystem, particularly in promoting national
representation and performance. Our findings supported the ongoing efforts to
legitimize esports as a sport, noting that mainstream recognition remains a
challenge. The inclusion of esports as a medal event showcased broader
acceptance and helped mitigate negative public perceptions. Moreover,
contributions from non-traditional stakeholders underscored the value of
cross-subcultural collaborations in esports.",2024-09-27 14:53:04+00:00,cs.HC,http://arxiv.org/pdf/2409.18798v1,Esports_Debut_as_a_Medal_Event_at_2023_Asian_Games_Exploring_Public_Perceptions_with_BERTopic_and_GPT4_Topic_FineTuning
A Survey on the Honesty of Large Language Models,"Siheng Li, Cheng Yang, Taiqiang Wu, Chufan Shi, Yuji Zhang, Xinyu Zhu, Zesen Cheng, Deng Cai, Mo Yu, Lemao Liu, Jie Zhou, Yujiu Yang, Ngai Wong, Xixin Wu, Wai Lam","Honesty is a fundamental principle for aligning large language models (LLMs)
with human values, requiring these models to recognize what they know and don't
know and be able to faithfully express their knowledge. Despite promising,
current LLMs still exhibit significant dishonest behaviors, such as confidently
presenting wrong answers or failing to express what they know. In addition,
research on the honesty of LLMs also faces challenges, including varying
definitions of honesty, difficulties in distinguishing between known and
unknown knowledge, and a lack of comprehensive understanding of related
research. To address these issues, we provide a survey on the honesty of LLMs,
covering its clarification, evaluation approaches, and strategies for
improvement. Moreover, we offer insights for future research, aiming to inspire
further exploration in this important area.",2024-09-27 14:34:54+00:00,cs.CL,http://arxiv.org/pdf/2409.18786v1,A_Survey_on_the_Honesty_of_Large_Language_Models
